{'loss': 0.6493, 'grad_norm': 139.2975311279297, 'learning_rate': 4.991158267020336e-05, 'epoch': 0.01}
{'loss': 1.3795, 'grad_norm': 0.33508211374282837, 'learning_rate': 4.9823165340406724e-05, 'epoch': 0.01}
{'loss': 0.716, 'grad_norm': 47.97926330566406, 'learning_rate': 4.9734748010610085e-05, 'epoch': 0.02}
{'loss': 0.6707, 'grad_norm': 43.97154235839844, 'learning_rate': 4.964633068081344e-05, 'epoch': 0.02}
{'loss': 0.6453, 'grad_norm': 119.7855224609375, 'learning_rate': 4.95579133510168e-05, 'epoch': 0.03}
{'loss': 0.6052, 'grad_norm': 21.406957626342773, 'learning_rate': 4.946949602122016e-05, 'epoch': 0.03}
{'loss': 0.7613, 'grad_norm': 4.575529098510742, 'learning_rate': 4.938107869142352e-05, 'epoch': 0.04}
{'loss': 0.7106, 'grad_norm': 15.46399974822998, 'learning_rate': 4.9292661361626876e-05, 'epoch': 0.04}
{'loss': 0.6999, 'grad_norm': 59.85447692871094, 'learning_rate': 4.9204244031830244e-05, 'epoch': 0.05}
{'loss': 0.5588, 'grad_norm': 33.43351364135742, 'learning_rate': 4.9115826702033605e-05, 'epoch': 0.05}
{'loss': 0.562, 'grad_norm': 4.072088241577148, 'learning_rate': 4.902740937223696e-05, 'epoch': 0.06}
{'loss': 0.5975, 'grad_norm': 7.421616077423096, 'learning_rate': 4.893899204244032e-05, 'epoch': 0.06}
{'loss': 0.5042, 'grad_norm': 9.531943321228027, 'learning_rate': 4.885057471264368e-05, 'epoch': 0.07}
{'loss': 0.6494, 'grad_norm': 7.933084487915039, 'learning_rate': 4.876215738284704e-05, 'epoch': 0.07}
{'loss': 0.6292, 'grad_norm': 27.041704177856445, 'learning_rate': 4.8673740053050396e-05, 'epoch': 0.08}
{'loss': 0.5388, 'grad_norm': 50.21623229980469, 'learning_rate': 4.8585322723253763e-05, 'epoch': 0.08}
{'loss': 0.6421, 'grad_norm': 3.5329699516296387, 'learning_rate': 4.849690539345712e-05, 'epoch': 0.09}
{'loss': 0.7666, 'grad_norm': 17.92418098449707, 'learning_rate': 4.840848806366048e-05, 'epoch': 0.1}
{'loss': 0.6523, 'grad_norm': 1.2418116331100464, 'learning_rate': 4.832007073386384e-05, 'epoch': 0.1}
{'loss': 0.6291, 'grad_norm': 3.8849167823791504, 'learning_rate': 4.82316534040672e-05, 'epoch': 0.11}
{'loss': 0.617, 'grad_norm': 10.259529113769531, 'learning_rate': 4.814323607427056e-05, 'epoch': 0.11}
