{'loss': 0.5716, 'grad_norm': 11210024.0, 'learning_rate': 4.929078014184397e-05, 'epoch': 0.04}
{'loss': 0.5845, 'grad_norm': 2611299.75, 'learning_rate': 4.858156028368794e-05, 'epoch': 0.08}
{'loss': 0.6061, 'grad_norm': 2651706.75, 'learning_rate': 4.787234042553192e-05, 'epoch': 0.13}
{'loss': 0.5048, 'grad_norm': 2525059.5, 'learning_rate': 4.716312056737589e-05, 'epoch': 0.17}
{'loss': 0.5608, 'grad_norm': 2302768.0, 'learning_rate': 4.645390070921986e-05, 'epoch': 0.21}
{'loss': 0.468, 'grad_norm': 1421930.75, 'learning_rate': 4.574468085106383e-05, 'epoch': 0.25}
{'loss': 0.4852, 'grad_norm': 1582452.0, 'learning_rate': 4.50354609929078e-05, 'epoch': 0.3}
{'loss': 0.4711, 'grad_norm': 2099289.25, 'learning_rate': 4.432624113475177e-05, 'epoch': 0.34}
{'loss': 0.5195, 'grad_norm': 5569785.5, 'learning_rate': 4.3617021276595746e-05, 'epoch': 0.38}
{'loss': 0.4412, 'grad_norm': 1996322.0, 'learning_rate': 4.2907801418439716e-05, 'epoch': 0.42}
{'loss': 0.5586, 'grad_norm': 7424609.0, 'learning_rate': 4.219858156028369e-05, 'epoch': 0.47}
{'loss': 0.4645, 'grad_norm': 4326836.0, 'learning_rate': 4.148936170212766e-05, 'epoch': 0.51}
{'loss': 0.397, 'grad_norm': 697888.3125, 'learning_rate': 4.078014184397163e-05, 'epoch': 0.55}
{'loss': 0.3547, 'grad_norm': 989530.25, 'learning_rate': 4.007092198581561e-05, 'epoch': 0.59}
{'loss': 0.4406, 'grad_norm': 7647369.0, 'learning_rate': 3.936170212765958e-05, 'epoch': 0.64}
{'loss': 0.412, 'grad_norm': 2705083.0, 'learning_rate': 3.865248226950355e-05, 'epoch': 0.68}
{'loss': 0.3737, 'grad_norm': 3026252.25, 'learning_rate': 3.794326241134752e-05, 'epoch': 0.72}
{'loss': 0.4464, 'grad_norm': 2436054.75, 'learning_rate': 3.723404255319149e-05, 'epoch': 0.76}
{'loss': 0.451, 'grad_norm': 4046665.25, 'learning_rate': 3.6524822695035466e-05, 'epoch': 0.81}
{'loss': 0.3983, 'grad_norm': 873597.8125, 'learning_rate': 3.5815602836879437e-05, 'epoch': 0.85}
{'loss': 0.3867, 'grad_norm': 5813516.0, 'learning_rate': 3.5106382978723407e-05, 'epoch': 0.89}
{'loss': 0.38, 'grad_norm': 5038465.0, 'learning_rate': 3.4397163120567377e-05, 'epoch': 0.93}
{'loss': 0.3917, 'grad_norm': 3104567.25, 'learning_rate': 3.3687943262411347e-05, 'epoch': 0.98}
{'eval_loss': 0.3852190673351288, 'eval_accuracy': 0.8329355608591885, 'eval_f1': 0.5353982300884956, 'eval_precision': 0.6393659180977543, 'eval_recall': 0.4605137963843958, 'eval_runtime': 24.8392, 'eval_samples_per_second': 202.422, 'eval_steps_per_second': 6.361, 'epoch': 1.0}
{'loss': 0.4155, 'grad_norm': 2036076.75, 'learning_rate': 3.2978723404255317e-05, 'epoch': 1.02}
{'loss': 0.4308, 'grad_norm': 2594666.25, 'learning_rate': 3.226950354609929e-05, 'epoch': 1.06}
{'loss': 0.4318, 'grad_norm': 876858.125, 'learning_rate': 3.156028368794326e-05, 'epoch': 1.11}
{'loss': 0.3242, 'grad_norm': 2100629.0, 'learning_rate': 3.085106382978723e-05, 'epoch': 1.15}
{'loss': 0.3751, 'grad_norm': 1971082.75, 'learning_rate': 3.0141843971631207e-05, 'epoch': 1.19}
{'loss': 0.3535, 'grad_norm': 3401035.5, 'learning_rate': 2.9432624113475177e-05, 'epoch': 1.23}
{'loss': 0.4111, 'grad_norm': 4014367.0, 'learning_rate': 2.8723404255319154e-05, 'epoch': 1.28}
{'loss': 0.4066, 'grad_norm': 3487058.5, 'learning_rate': 2.8014184397163124e-05, 'epoch': 1.32}
{'loss': 0.4217, 'grad_norm': 5146073.0, 'learning_rate': 2.7304964539007094e-05, 'epoch': 1.36}
{'loss': 0.3657, 'grad_norm': 1055862.125, 'learning_rate': 2.6595744680851064e-05, 'epoch': 1.4}
{'loss': 0.3555, 'grad_norm': 1495074.125, 'learning_rate': 2.5886524822695034e-05, 'epoch': 1.45}
{'loss': 0.4262, 'grad_norm': 2786984.25, 'learning_rate': 2.5177304964539007e-05, 'epoch': 1.49}
{'loss': 0.3771, 'grad_norm': 2061739.125, 'learning_rate': 2.446808510638298e-05, 'epoch': 1.53}
{'loss': 0.4087, 'grad_norm': 1607086.375, 'learning_rate': 2.3758865248226954e-05, 'epoch': 1.57}
{'loss': 0.3917, 'grad_norm': 1330209.5, 'learning_rate': 2.3049645390070924e-05, 'epoch': 1.62}
{'loss': 0.3499, 'grad_norm': 4852388.5, 'learning_rate': 2.2340425531914894e-05, 'epoch': 1.66}
{'loss': 0.3853, 'grad_norm': 507902.15625, 'learning_rate': 2.1631205673758867e-05, 'epoch': 1.7}
{'loss': 0.3804, 'grad_norm': 10301965.0, 'learning_rate': 2.0921985815602837e-05, 'epoch': 1.74}
{'loss': 0.3962, 'grad_norm': 868612.0625, 'learning_rate': 2.0212765957446807e-05, 'epoch': 1.79}
{'loss': 0.3657, 'grad_norm': 1119120.0, 'learning_rate': 1.950354609929078e-05, 'epoch': 1.83}
{'loss': 0.3848, 'grad_norm': 1613781.875, 'learning_rate': 1.879432624113475e-05, 'epoch': 1.87}
{'loss': 0.3774, 'grad_norm': 2319279.75, 'learning_rate': 1.8085106382978724e-05, 'epoch': 1.91}
